Text,Particle,P n,P /100,MB n,MB /100,E n,E /100,P+E /100,Ratio PE:MB
"Antisth., Od.",οὖν,0,0.00,3,0.37,0,0.00,0.00,0.00
"Antisth., Od.",καί,5,8.20,43,5.26,6,13.04,10.28,1.95
"Antisth., Od.",τε,0,0.00,4,0.49,1,2.17,0.93,1.91
"Antisth., Od.",ἀλλά,1,1.64,15,1.84,0,0.00,0.93,0.51
"Antisth., Od.",ἤ,1,1.64,4,0.49,0,0.00,0.93,1.91
"Antisth., Od.",ἔτι,0,0.00,0,0.00,0,0.00,0.00,—
"Antisth., Od.",τοίνυν,0,0.00,0,0.00,0,0.00,0.00,—
"Antisth., Od.",καίτοι,0,0.00,3,0.37,0,0.00,0.00,0.00
"Antisth., Od.",ὥστε,0,0.00,0,0.00,0,0.00,0.00,—
"Antisth., Od.",ἔπειτα,0,0.00,2,0.24,0,0.00,0.00,0.00
"Antisth., Od.",χωρίς,0,0.00,0,0.00,0,0.00,0.00,—
"Antisth., Od.",ἄρα,0,0.00,0,0.00,1,2.17,0.93,—
"Antisth., Od.",δή,0,0.00,1,0.12,0,0.00,0.00,0.00
"Alcidamas, Soph.",γάρ,0,0.00,27,1.36,0,0.00,0.00,0.00
"Alcidamas, Soph.",μέν,1,0.99,41,2.07,1,1.06,1.03,0.50
"Alcidamas, Soph.",δέ,1,0.99,60,3.03,2,2.13,1.54,0.51
"Alcidamas, Soph.",οὖν,0,0.00,4,0.20,1,1.06,0.51,2.54
"Alcidamas, Soph.",καί,10,9.90,127,6.42,8,8.51,9.23,1.44
"Alcidamas, Soph.",τε,0,0.00,8,0.40,1,1.06,0.51,1.27
"Alcidamas, Soph.",ἀλλά,1,0.99,9,0.45,0,0.00,0.51,1.13
"Alcidamas, Soph.",ἤ,1,0.99,13,0.66,3,3.19,2.05,3.12
"Alcidamas, Soph.",ἔτι,0,0.00,5,0.25,1,1.06,0.51,2.03
"Alcidamas, Soph.",τοίνυν,0,0.00,2,0.10,0,0.00,0.00,0.00
